,Unnamed: 0,date,code,open,high,low,close,volume,amount,turn,pctChg,peTTM,2_MA,5_MA,15_MA,30_MA,60_MA,Slope_2_MA,Slope_5_MA,Slope_15_MA,Slope_30_MA,Slope_60_MA,index
10,60,2024-04-03,1,10.53,10.55,10.42,10.46,981846,1028648883.43,0.51,-0.85,4.37,10.505,10.532,10.482666666666669,10.493333333333332,9.952166666666669,-0.0899999999999998,-0.0899999999999998,0.0086666666666683,-0.0113333333333347,0.0208333333333339,49
11,59,2024-04-02,1,10.63,10.68,10.53,10.55,1085458,1149700799.95,0.56,-0.85,4.41,10.595,10.546,10.473999999999998,10.504666666666669,9.931333333333331,0.0150000000000005,0.0150000000000005,-0.0006666666666692,0.0243333333333346,0.0104858757062142,48
12,58,2024-04-01,1,10.52,10.65,10.51,10.64,1191088,1261770380.39,0.61,1.14,4.44,10.58,10.556,10.474666666666668,10.480333333333332,9.92084745762712,0.075000000000001,0.075000000000001,0.0113333333333347,0.0276666666666667,0.0123991817650495,47
13,57,2024-03-29,1,10.45,10.57,10.43,10.52,872759,917332315.96,0.45,0.29,4.39,10.505,10.508,10.463333333333331,10.452666666666666,9.908448275862067,-0.0050000000000007,-0.0050000000000007,0.009333333333334,0.0283333333333324,0.0107289776164556,46
14,56,2024-03-28,1,10.51,10.57,10.38,10.49,1302189,1362980388.48,0.67,-0.38,4.38,10.51,10.476,10.454,10.424333333333331,9.897719298245612,-0.0549999999999997,-0.0549999999999997,0.0073333333333316,0.0293333333333318,0.0105764411027564,45
15,55,2024-03-27,1,10.56,10.63,10.51,10.53,1274136,1347397150.36,0.66,-0.66,4.4,10.565,10.472,10.446666666666667,10.395,9.887142857142855,0.0649999999999995,0.0649999999999995,0.0133333333333336,0.0283333333333342,0.0116883116883119,44
16,54,2024-03-26,1,10.45,10.66,10.42,10.6,1740021,1835376190.72,0.9,1.92,,10.5,10.456,10.433333333333334,10.366666666666667,9.875454545454543,0.120000000000001,0.120000000000001,0.0113333333333329,0.0406666666666666,0.0134175084175094,43
17,53,2024-03-25,1,10.35,10.49,10.32,10.4,953202,993304120.45,0.49,0.39,,10.38,10.416,10.422,10.326,9.862037037037036,-0.0350000000000001,-0.0350000000000001,0.0046666666666652,0.0376666666666682,0.0101502445842065,42
18,52,2024-03-22,1,10.45,10.45,10.31,10.36,1028142,1065535606.11,0.53,-1.05,,10.415,10.444,10.417333333333335,10.288333333333332,9.851886792452827,-0.0450000000000017,-0.0450000000000017,-0.008666666666663,0.0316666666666645,0.0097714078374444,41
19,51,2024-03-21,1,10.45,10.52,10.42,10.47,864466,905422293.67,0.45,0.19,,10.46,10.492,10.425999999999998,10.256666666666668,9.842115384615385,0.0350000000000001,0.0350000000000001,-0.0080000000000008,0.0336666666666669,0.0123114630467568,40
20,50,2024-03-20,1,10.38,10.47,10.37,10.45,872663,910278572.98,0.45,0.48,,10.425,10.444,10.434,10.223,9.829803921568628,-0.0449999999999981,-0.0449999999999981,-0.0026666666666681,0.0316666666666662,0.0124039215686284,39
21,49,2024-03-19,1,10.53,10.54,10.39,10.4,1293216,1351069630.23,0.67,-1.33,,10.47,10.419999999999998,10.436666666666667,10.191333333333334,9.8174,-0.1000000000000014,-0.1000000000000014,-0.0066666666666659,0.0233333333333334,0.0118897959183659,38
22,48,2024-03-18,1,10.56,10.61,10.49,10.54,1671397,1761249149.98,0.86,-0.57,,10.57,10.452,10.443333333333332,10.168,9.805510204081632,0.1550000000000011,0.1550000000000011,0.0006666666666657,0.0306666666666668,0.0153018707482992,37
23,47,2024-03-15,1,10.55,10.75,10.5,10.6,3750208,3973799130.9,1.93,3.62,,10.415,10.438,10.442666666666668,10.137333333333334,9.790208333333334,0.134999999999998,0.134999999999998,-0.0166666666666674,0.0366666666666688,0.0172296099290782,36
24,46,2024-03-14,1,10.3,10.38,10.2,10.23,1409400,1448499697.91,0.73,-0.97,,10.28,10.394,10.459333333333335,10.100666666666664,9.772978723404256,-0.1649999999999991,-0.1649999999999991,-0.0446666666666644,0.0299999999999993,0.0099352451433851,35
25,45,2024-03-13,1,10.53,10.55,10.3,10.33,1768039,1834654994.4,0.91,-2.18,,10.445,10.424,10.504,10.070666666666666,9.76304347826087,-0.0700000000000002,-0.0700000000000002,-0.0313333333333343,0.0389999999999997,0.0125990338164267,34
26,44,2024-03-12,1,10.48,10.59,10.41,10.56,1641262,1721999708.11,0.85,0.86,,10.515,10.424,10.535333333333334,10.031666666666666,9.750444444444444,0.0899999999999998,0.0899999999999998,0.0493333333333332,0.0486666666666675,0.0183989898989889,33
27,43,2024-03-11,1,10.38,10.47,10.34,10.47,1210673,1260212019.66,0.62,0.87,,10.425,10.398,10.486,9.983,9.732045454545457,0.0449999999999999,0.0449999999999999,0.0439999999999987,0.043333333333333,0.0171617336152216,32
28,42,2024-03-08,1,10.35,10.44,10.3,10.38,1113974,1154491251.23,0.57,0.0,,10.38,10.37,10.442000000000002,9.939666666666666,9.714883720930231,0.0250000000000003,0.0250000000000003,0.0473333333333343,0.0393333333333334,0.0158361018826145,31
29,41,2024-03-07,1,10.33,10.64,10.33,10.38,2016166,2109589237.19,1.04,0.48,,10.355,10.392,10.394666666666668,9.900333333333332,9.69904761904762,-0.0249999999999985,-0.0249999999999985,0.0513333333333356,0.0383333333333322,0.0166085946573737,30
30,40,2024-03-06,1,10.4,10.45,10.33,10.33,1345640,1396940060.42,0.69,-0.96,,10.38,10.434,10.343333333333332,9.862,9.682439024390243,0.0,0.0,0.0433333333333312,0.0329999999999994,0.0161890243902451,29
31,39,2024-03-05,1,10.3,10.47,10.26,10.43,1817319,1889144330.16,0.94,0.97,,10.38,10.466,10.3,9.829,9.66625,-0.0300000000000011,-0.0300000000000011,0.070000000000002,0.0406666666666684,0.0195833333333332,28
32,38,2024-03-04,1,10.45,10.5,10.32,10.33,1655930,1719562862.03,0.85,-1.53,,10.41,10.48,10.23,9.788333333333332,9.646666666666668,-0.129999999999999,-0.129999999999999,0.0706666666666659,0.0379999999999984,0.0179824561403503,27
33,37,2024-03-01,1,10.59,10.6,10.43,10.49,1828103,1917689306.77,0.94,-0.94,,10.54,10.52,10.159333333333333,9.750333333333334,9.628684210526316,0.0,0.0,0.0719999999999991,0.0440000000000004,0.0232788051209116,26
34,36,2024-02-29,1,10.42,10.59,10.41,10.59,1845344,1936020982.56,0.95,0.95,,10.54,10.592,10.087333333333332,9.706333333333331,9.605405405405405,0.0449999999999981,0.0449999999999981,0.075333333333333,0.0500000000000007,0.0273498498498483,25
35,35,2024-02-28,1,10.51,10.7,10.4,10.49,3082693,3253340358.41,1.59,-0.1,,10.495,10.654,10.012,9.656333333333333,9.578055555555556,-0.0199999999999995,-0.0199999999999995,0.0660000000000007,0.0436666666666667,0.0260555555555566,24
36,34,2024-02-27,1,10.49,10.6,10.46,10.5,1981905,2083027074.06,1.02,-0.28,,10.515,10.716,9.946,9.612666666666666,9.552,-0.1749999999999989,-0.1749999999999989,0.0533333333333345,0.0449999999999999,0.0278823529411766,23
37,33,2024-02-26,1,10.78,10.88,10.5,10.53,2862609,3048205024.78,1.48,-2.95,,10.69,10.580000000000002,9.892666666666663,9.567666666666666,9.524117647058825,-0.1850000000000005,-0.1850000000000005,0.0606666666666662,0.041999999999998,0.0304812834224588,22
38,32,2024-02-23,1,10.88,11.24,10.84,10.85,3567480,3917316281.52,1.84,-0.46,,10.875,10.436,9.832,9.525666666666668,9.493636363636364,0.0249999999999985,0.0249999999999985,0.0899999999999998,0.0580000000000016,0.0423863636363641,21
39,31,2024-02-22,1,10.65,10.91,10.62,10.9,4922325,5307736374.06,2.54,0.93,,10.85,10.2,9.742,9.467666666666666,9.45125,0.5400000000000009,0.5400000000000009,0.1046666666666649,0.0566666666666648,0.046733870967742,20
40,30,2024-02-21,1,9.78,10.8,9.77,10.8,5055285,5295259396.81,2.61,9.98,,10.31,9.942,9.637333333333334,9.411,9.404516129032258,0.4949999999999992,0.4949999999999992,0.1093333333333337,0.0530000000000008,0.0465161290322573,19
41,29,2024-02-20,1,9.79,9.84,9.73,9.82,1123564,1098987813.26,0.58,0.1,,9.815,9.718,9.528,9.358,9.358,0.075000000000001,0.075000000000001,0.0480000000000018,0.0159310344827581,0.0159310344827581,18
42,28,2024-02-19,1,9.76,9.81,9.65,9.81,1605243,1564088444.93,0.83,1.45,,9.74,9.63,9.48,9.342068965517242,9.342068965517242,0.0999999999999996,0.0999999999999996,0.0426666666666673,0.016711822660099,0.016711822660099,17
43,27,2024-02-08,1,9.58,9.67,9.52,9.67,1656814,1593505690.13,0.85,0.62,,9.64,9.522,9.437333333333331,9.325357142857143,9.325357142857143,-0.004999999999999,-0.004999999999999,0.0313333333333307,0.012764550264551,0.012764550264551,16
44,26,2024-02-07,1,9.62,9.67,9.48,9.61,2062015,1975435102.12,1.06,-0.72,,9.645,9.47,9.406,9.312592592592592,9.312592592592592,0.1149999999999984,0.1149999999999984,0.0253333333333358,0.0114387464387473,0.0114387464387473,15
45,25,2024-02-06,1,9.3,9.68,9.29,9.68,1995410,1900324218.2,1.03,3.2,,9.53,9.44,9.380666666666665,9.301153846153843,9.301153846153843,0.2050000000000018,0.2050000000000018,0.0226666666666641,0.0151538461538454,0.0151538461538454,14
46,24,2024-02-05,1,9.19,9.43,9.11,9.38,1803592,1674566499.46,0.93,1.19,,9.325,9.404,9.358,9.286,9.286,-0.0150000000000005,-0.0150000000000005,0.0113333333333329,0.0039166666666652,0.0039166666666652,13
47,23,2024-02-02,1,9.42,9.47,9.07,9.27,1634214,1520605694.69,0.84,-1.49,,9.34,9.468,9.346666666666668,9.282083333333334,9.282083333333334,-0.0950000000000006,-0.0950000000000006,0.0053333333333345,-0.0005253623188394,-0.0005253623188394,12
48,22,2024-02-01,1,9.41,9.48,9.34,9.41,1055260,993481907.01,0.54,-0.53,,9.435,9.538,9.341333333333331,9.282608695652174,9.282608695652174,-0.0449999999999999,-0.0449999999999999,0.016,0.0057905138339915,0.0057905138339915,11
49,21,2024-01-31,1,9.46,9.56,9.38,9.46,1357217,1286857396.81,0.7,-0.42,,9.48,9.556,9.325333333333331,9.276818181818182,9.276818181818182,-0.1199999999999992,-0.1199999999999992,0.0246666666666666,0.0087229437229439,0.0087229437229439,10
50,20,2024-01-30,1,9.61,9.7,9.49,9.5,1579122,1515156603.96,0.81,-2.06,,9.6,9.53,9.300666666666666,9.268095238095238,9.268095238095238,-0.0600000000000005,-0.0600000000000005,0.0213333333333327,0.0115952380952393,0.0115952380952393,9
51,19,2024-01-29,1,9.69,9.88,9.58,9.7,2376252,2312173346.33,1.22,0.83,,9.66,9.462,9.279333333333334,9.2565,9.2565,0.1000000000000014,0.1000000000000014,0.0366666666666652,0.0233421052631559,0.0233421052631559,8
52,18,2024-01-26,1,9.47,9.67,9.44,9.62,2272287,2172799799.01,1.17,1.26,,9.56,9.342,9.242666666666668,9.233157894736843,9.233157894736843,0.1449999999999995,0.1449999999999995,0.0233333333333352,0.0214912280701771,0.0214912280701771,7
53,17,2024-01-25,1,9.33,9.54,9.27,9.5,2162514,2037648413.07,1.11,1.82,,9.415,9.252,9.219333333333331,9.211666666666666,9.211666666666666,0.1699999999999981,0.1699999999999981,0.0259999999999998,0.0169607843137242,0.0169607843137242,6
54,16,2024-01-24,1,9.23,9.34,9.07,9.33,1759123,1620099272.06,0.91,1.86,,9.245,9.191999999999998,9.193333333333332,9.194705882352942,9.194705882352942,0.1150000000000019,0.1150000000000019,0.0086666666666683,0.0084558823529423,0.0084558823529423,5
55,15,2024-01-23,1,9.05,9.18,8.96,9.16,1135545,1030898421.04,0.59,0.66,,9.13,9.172,9.184666666666663,9.18625,9.18625,-0.0050000000000007,-0.0050000000000007,-0.0033333333333338,-0.0017499999999994,-0.0017499999999994,4
56,14,2024-01-22,1,9.16,9.26,9.04,9.1,1580320,1449858241.68,0.81,-0.76,,9.135,9.208,9.188,9.188,9.188,-0.0499999999999989,-0.0499999999999989,-0.0062857142857151,-0.0062857142857151,-0.0062857142857151,3
57,13,2024-01-19,1,9.16,9.2,9.1,9.17,963981,881865023.89,0.5,-0.33,,9.185,9.23,9.194285714285714,9.194285714285714,9.194285714285714,-0.0300000000000011,-0.0300000000000011,-0.0018681318681323,-0.0018681318681323,-0.0018681318681323,2
58,12,2024-01-18,1,9.21,9.24,9.0,9.2,1755132,1597853726.63,0.9,-0.33,,9.215,9.233999999999998,9.196153846153846,9.196153846153846,9.196153846153846,-0.0700000000000002,-0.0700000000000002,0.0003205128205134,0.0003205128205134,0.0003205128205134,1
59,11,2024-01-17,1,9.33,9.39,9.23,9.23,1482296,1380725065.03,0.76,-1.18,,9.285,9.228,9.195833333333333,9.195833333333333,9.195833333333333,0.0099999999999997,0.0099999999999997,0.0031060606060595,0.0031060606060595,0.0031060606060595,0
